# itemID AegisName type
1100 Taurus_Sword_J 1hSword
1101 Sword 1hSword
1102 Sword_ 1hSword
1103 Sword__ 1hSword
1104 Falchion 1hSword
1105 Falchion_ 1hSword
1106 Falchion__ 1hSword
1107 Blade 1hSword
1108 Blade_ 1hSword
1109 Blade__ 1hSword
1110 Lapier 1hSword
1111 Lapier_ 1hSword
1112 Lapier__ 1hSword
1113 Scimiter 1hSword
1114 Scimiter_ 1hSword
1115 Scimiter__ 1hSword
1116 Katana 2hSword
1117 Katana_ 2hSword
1118 Katana__ 2hSword
1119 Tsurugi 1hSword
1120 Tsurugi_ 1hSword
1121 Tsurugi__ 1hSword
1122 Ring_Pommel_Saber 1hSword
1123 Haedonggum 1hSword
1124 Orcish_Sword 1hSword
1125 Ring_Pommel_Saber_ 1hSword
1126 Saber 1hSword
1127 Saber_ 1hSword
1128 Hae_Dong_Gum_ 1hSword
1129 Flamberge 1hSword
1130 Nagan 1hSword
1131 Ice_Falchon 1hSword
1132 Edge 1hSword
1133 Fire_Brand 1hSword
1134 Scissores_Sword 1hSword
1135 Cutlas 1hSword
1136 Solar_Sword 1hSword
1137 Excalibur 1hSword
1138 Mysteltainn_ 1hSword
1139 Tale_Fing_ 1hSword
1140 Byeorrun_Gum 1hSword
1141 Immaterial_Sword 1hSword
1142 Jewel_Sword 1hSword
1143 Gaia_Sword 1hSword
1144 Sasimi 1hSword
1145 Holy_Avenger 1hSword
1146 Town_Sword 1hSword
1147 Town_Sword_ 1hSword
1148 Star_Dust_Blade 1hSword
1149 Flamberge_ 1hSword
1150 Libra_Krasnaya_J 2hSword
1151 Slayer 2hSword
1152 Slayer_ 2hSword
1153 Slayer__ 2hSword
1154 Bastard_Sword 2hSword
1155 Bastard_Sword_ 2hSword
1156 Bastard_Sword__ 2hSword
1157 Two_Hand_Sword 2hSword
1158 Two_Hand_Sword_ 2hSword
1159 Two_Hand_Sword__ 2hSword
1160 Broad_Sword 2hSword
1161 Balmung 2hSword
1162 Broad_Sword_ 2hSword
1163 Claymore 2hSword
1164 Muramasa 2hSword
1165 Masamune 2hSword
1166 Dragon_Slayer 2hSword
1167 Schweizersabel 2hSword
1168 Zweihander 2hSword
1169 Executioner_ 2hSword
1170 Katzbalger 2hSword
1171 Zweihander_ 2hSword
1172 Claymore_ 2hSword
1173 Muramasa_C 2hSword
1174 Executioner_C 2hSword
1175 Altas_Weapon 2hSword
1176 Muscle_Cutter 2hSword
1177 Muramash 2hSword
1178 Schweizersabel_ 2hSword
1179 Executioner__ 2hSword
1180 Dragon_Slayer_ 2hSword
1181 Tae_Goo_Lyeon 2hSword
1182 Bloody_Eater 2hSword
1183 BF_Two_Handed_Sword1 2hSword
1184 BF_Two_Handed_Sword2 2hSword
1185 Violet_Fear 2hSword
1186 Death_Guidance 2hSword
1187 Krieger_Twohand_Sword1 2hSword
1188 Veteran_Sword 2hSword
1189 Krasnaya 2hSword
1190 Claymore_C 2hSword
1191 Alca_Bringer 2hSword
1192 P_Slayer1 2hSword
1193 P_Slayer2 2hSword
1194 F_Executioner_C 2hSword
1195 E_Executioner_C 2hSword
1196 Chrome_Twohand_Sword 2hSword
1197 P_Slayer3 2hSword
1198 Hairtail 2hSword
1199 Ebony_Toe_Nail 2hSword
1201 Knife Dagger
1202 Knife_ Dagger
1203 Knife__ Dagger
1204 Cutter Dagger
1205 Cutter_ Dagger
1206 Cutter__ Dagger
1207 Main_Gauche Dagger
1208 Main_Gauche_ Dagger
1209 Main_Gauche__ Dagger
1210 Dirk Dagger
1211 Dirk_ Dagger
1212 Dirk__ Dagger
1213 Dagger Dagger
1214 Dagger_ Dagger
1215 Dagger__ Dagger
1216 Stiletto Dagger
1217 Stiletto_ Dagger
1218 Stiletto__ Dagger
1219 Gladius Dagger
1220 Gladius_ Dagger
1221 Gladius__ Dagger
1222 Damascus Dagger
1223 Forturn_Sword Dagger
1224 Sword_Breaker Dagger
1225 Mail_Breaker Dagger
1226 Damascus_ Dagger
1227 Weeder_Knife Dagger
1228 Combat_Knife Dagger
1229 Mama's_Knife Dagger
1230 House_Auger Dagger
1231 Bazerald Dagger
1232 Assasin_Dagger Dagger
1233 Exercise Dagger
1234 Moonlight_Sword Dagger
1235 Azoth Dagger
1236 Sucsamad Dagger
1237 Grimtooth_ Dagger
1238 Zeny_Knife Dagger
1239 Poison_Knife Dagger
1240 Princess_Knife Dagger
1241 Cursed_Dagger Dagger
1242 Counter_Dagger Dagger
1243 Novice_Knife Dagger
1244 Holy_Dagger Dagger
1245 Cinquedea Dagger
1246 Cinquedea_ Dagger
1247 Kindling_Dagger Dagger
1248 Obsidian_Dagger Dagger
1249 Fisherman's_Dagger Dagger
1250 Jur Katar
1251 Jur_ Katar
1252 Katar Katar
1253 Katar_ Katar
1254 Jamadhar Katar
1255 Jamadhar_ Katar
1256 Katar_Of_Cold_Icicle Katar
1257 Katar_Of_Thornbush Katar
1258 Katar_Of_Raging_Blaze Katar
1259 Katar_Of_Piercing_Wind Katar
1260 Ghoul_Leg Katar
1261 Infiltrator Katar
1262 Nail_Of_Loki Katar
1263 Unholy_Touch Katar
1264 Various_Jur Katar
1265 Bloody_Roar Katar
1266 Infiltrator_ Katar
1267 Infiltrator_C Katar
1268 Wild_Beast_Claw Katar
1269 Inverse_Scale Katar
1270 Drill_Katar Katar
1271 Blood_Tears Katar
1272 Scratcher Katar
1273 Bloody_Roar_C Katar
1274 Unholy_Touch_C Katar
